Epoch 165, Data Loss: 0.8421602249145508, Physics Loss: 9.834200859069824, Total Loss: 1.825580358505249, time: 4.82 seconds
Epoch 166, Data Loss: 0.8415443897247314, Physics Loss: 9.834635734558105, Total Loss: 1.8250079154968262, time: 4.70 seconds
Epoch 167, Data Loss: 0.840935230255127, Physics Loss: 9.835006713867188, Total Loss: 1.8244359493255615, time: 4.80 seconds
Epoch 168, Data Loss: 0.8403371572494507, Physics Loss: 9.835265159606934, Total Loss: 1.8238637447357178, time: 4.91 seconds
Epoch 169, Data Loss: 0.8397523760795593, Physics Loss: 9.835382461547852, Total Loss: 1.8232905864715576, time: 4.84 seconds
Epoch 170, Data Loss: 0.8391816020011902, Physics Loss: 9.83535385131836, Total Loss: 1.8227169513702393, time: 4.82 seconds
Epoch 171, Data Loss: 0.838622510433197, Physics Loss: 9.835206031799316, Total Loss: 1.8221430778503418, time: 4.89 seconds
Epoch 172, Data Loss: 0.8380712866783142, Physics Loss: 9.834975242614746, Total Loss: 1.8215688467025757, time: 4.84 seconds
Epoch 173, Data Loss: 0.8375232219696045, Physics Loss: 9.834708213806152, Total Loss: 1.8209941387176514, time: 4.85 seconds
Epoch 174, Data Loss: 0.8369740843772888, Physics Loss: 9.834454536437988, Total Loss: 1.8204195499420166, time: 4.81 seconds
Epoch 175, Data Loss: 0.8364191651344299, Physics Loss: 9.834258079528809, Total Loss: 1.8198449611663818, time: 4.82 seconds
Epoch 176, Data Loss: 0.83585524559021, Physics Loss: 9.834150314331055, Total Loss: 1.819270372390747, time: 4.75 seconds
Epoch 177, Data Loss: 0.8352808952331543, Physics Loss: 9.834146499633789, Total Loss: 1.8186955451965332, time: 5.29 seconds
Epoch 178, Data Loss: 0.8346965312957764, Physics Loss: 9.83423900604248, Total Loss: 1.8181204795837402, time: 4.86 seconds
Epoch 179, Data Loss: 0.8341043591499329, Physics Loss: 9.834407806396484, Total Loss: 1.8175451755523682, time: 4.88 seconds
Epoch 180, Data Loss: 0.8335078954696655, Physics Loss: 9.834617614746094, Total Loss: 1.816969633102417, time: 4.90 seconds
Epoch 181, Data Loss: 0.8329105973243713, Physics Loss: 9.834833145141602, Total Loss: 1.8163938522338867, time: 4.89 seconds
Epoch 182, Data Loss: 0.8323163986206055, Physics Loss: 9.8350191116333, Total Loss: 1.8158183097839355, time: 4.94 seconds
Epoch 183, Data Loss: 0.8317272663116455, Physics Loss: 9.835155487060547, Total Loss: 1.8152427673339844, time: 5.05 seconds
Epoch 184, Data Loss: 0.8311446309089661, Physics Loss: 9.835223197937012, Total Loss: 1.814666986465454, time: 4.93 seconds
Epoch 185, Data Loss: 0.8305690288543701, Physics Loss: 9.835220336914062, Total Loss: 1.8140910863876343, time: 4.89 seconds
Epoch 186, Data Loss: 0.830000102519989, Physics Loss: 9.835153579711914, Total Loss: 1.8135154247283936, time: 4.94 seconds
Epoch 187, Data Loss: 0.8294357061386108, Physics Loss: 9.835041999816895, Total Loss: 1.8129398822784424, time: 2.44 seconds
Epoch 188, Data Loss: 0.8288736939430237, Physics Loss: 9.834907531738281, Total Loss: 1.8123644590377808, time: 2.30 seconds
Epoch 189, Data Loss: 0.8283118605613708, Physics Loss: 9.834776878356934, Total Loss: 1.8117895126342773, time: 2.34 seconds
Epoch 190, Data Loss: 0.8277474045753479, Physics Loss: 9.834676742553711, Total Loss: 1.8112151622772217, time: 2.28 seconds
Epoch 191, Data Loss: 0.8271783590316772, Physics Loss: 9.834627151489258, Total Loss: 1.8106410503387451, time: 2.31 seconds
Epoch 192, Data Loss: 0.8266035318374634, Physics Loss: 9.834637641906738, Total Loss: 1.8100672960281372, time: 2.32 seconds
Epoch 193, Data Loss: 0.8260238766670227, Physics Loss: 9.834702491760254, Total Loss: 1.809494137763977, time: 2.37 seconds
Epoch 194, Data Loss: 0.8254408836364746, Physics Loss: 9.83480453491211, Total Loss: 1.8089213371276855, time: 2.29 seconds
Epoch 195, Data Loss: 0.8248563408851624, Physics Loss: 9.83492660522461, Total Loss: 1.8083490133285522, time: 2.28 seconds
Epoch 196, Data Loss: 0.8242726922035217, Physics Loss: 9.835049629211426, Total Loss: 1.8077776432037354, time: 2.29 seconds
Epoch 197, Data Loss: 0.8236913084983826, Physics Loss: 9.835153579711914, Total Loss: 1.807206630706787, time: 2.29 seconds
Epoch 198, Data Loss: 0.8231147527694702, Physics Loss: 9.835217475891113, Total Loss: 1.8066365718841553, time: 2.27 seconds
Epoch 199, Data Loss: 0.8225436210632324, Physics Loss: 9.835235595703125, Total Loss: 1.8060672283172607, time: 2.30 seconds
Epoch 200, Data Loss: 0.8219776749610901, Physics Loss: 9.835208892822266, Total Loss: 1.8054986000061035, time: 2.41 seconds
Epoch 201, Data Loss: 0.8214724659919739, Physics Loss: 9.835148811340332, Total Loss: 1.8049874305725098, time: 2.30 seconds
Epoch 202, Data Loss: 0.820970356464386, Physics Loss: 9.83506965637207, Total Loss: 1.804477334022522, time: 2.30 seconds
Epoch 203, Data Loss: 0.8204695582389832, Physics Loss: 9.834981918334961, Total Loss: 1.8039677143096924, time: 2.28 seconds
Epoch 204, Data Loss: 0.8199690580368042, Physics Loss: 9.834900856018066, Total Loss: 1.8034591674804688, time: 2.30 seconds
Epoch 205, Data Loss: 0.8194672465324402, Physics Loss: 9.834839820861816, Total Loss: 1.8029512166976929, time: 2.29 seconds
Epoch 206, Data Loss: 0.8189638257026672, Physics Loss: 9.834803581237793, Total Loss: 1.8024442195892334, time: 2.34 seconds
Epoch 207, Data Loss: 0.8184583783149719, Physics Loss: 9.834797859191895, Total Loss: 1.8019381761550903, time: 2.28 seconds
Epoch 208, Data Loss: 0.8179512023925781, Physics Loss: 9.834821701049805, Total Loss: 1.8014333248138428, time: 2.29 seconds
Epoch 209, Data Loss: 0.8174431324005127, Physics Loss: 9.83486270904541, Total Loss: 1.8009294271469116, time: 2.38 seconds
Epoch 210, Data Loss: 0.8169350624084473, Physics Loss: 9.834915161132812, Total Loss: 1.8004266023635864, time: 2.31 seconds
Epoch 211, Data Loss: 0.8164283037185669, Physics Loss: 9.834965705871582, Total Loss: 1.7999248504638672, time: 2.29 seconds
Epoch 212, Data Loss: 0.8159244060516357, Physics Loss: 9.835002899169922, Total Loss: 1.799424648284912, time: 2.27 seconds
