Epoch 177, Data Loss: 0.0013312808005139232, Physics Loss: 10.960758209228516, Total Loss: 1.0974072217941284, time: 0.44 seconds
Epoch 178, Data Loss: 0.001330818049609661, Physics Loss: 10.960758209228516, Total Loss: 1.0974067449569702, time: 0.44 seconds
Epoch 179, Data Loss: 0.0013303619343787432, Physics Loss: 10.960758209228516, Total Loss: 1.097406268119812, time: 0.45 seconds
Epoch 180, Data Loss: 0.0013299129204824567, Physics Loss: 10.960758209228516, Total Loss: 1.0974057912826538, time: 0.44 seconds
Epoch 181, Data Loss: 0.0013294699601829052, Physics Loss: 10.960758209228516, Total Loss: 1.0974053144454956, time: 0.62 seconds
Epoch 182, Data Loss: 0.0013290332863107324, Physics Loss: 10.960758209228516, Total Loss: 1.097404956817627, time: 1.15 seconds
Epoch 183, Data Loss: 0.001328601036220789, Physics Loss: 10.960758209228516, Total Loss: 1.0974044799804688, time: 0.45 seconds
Epoch 184, Data Loss: 0.001328174490481615, Physics Loss: 10.960758209228516, Total Loss: 1.0974041223526, time: 0.61 seconds
Epoch 185, Data Loss: 0.001327754114754498, Physics Loss: 10.960758209228516, Total Loss: 1.097403645515442, time: 0.70 seconds
Epoch 186, Data Loss: 0.0013273399090394378, Physics Loss: 10.960758209228516, Total Loss: 1.0974032878875732, time: 0.44 seconds
Epoch 187, Data Loss: 0.0013269318733364344, Physics Loss: 10.960758209228516, Total Loss: 1.097402811050415, time: 0.46 seconds
Epoch 188, Data Loss: 0.0013265296583995223, Physics Loss: 10.960758209228516, Total Loss: 1.0974024534225464, time: 0.44 seconds
Epoch 189, Data Loss: 0.0013261326821520925, Physics Loss: 10.960758209228516, Total Loss: 1.0974019765853882, time: 0.54 seconds
Epoch 190, Data Loss: 0.0013257404789328575, Physics Loss: 10.960758209228516, Total Loss: 1.0974016189575195, time: 0.59 seconds
Epoch 191, Data Loss: 0.0013253528159111738, Physics Loss: 10.960758209228516, Total Loss: 1.0974012613296509, time: 0.44 seconds
Epoch 192, Data Loss: 0.0013249695766717196, Physics Loss: 10.960758209228516, Total Loss: 1.0974009037017822, time: 0.46 seconds
Epoch 193, Data Loss: 0.0013245907612144947, Physics Loss: 10.960758209228516, Total Loss: 1.097400426864624, time: 0.44 seconds
Epoch 194, Data Loss: 0.0013242162531241775, Physics Loss: 10.960758209228516, Total Loss: 1.0974000692367554, time: 0.45 seconds
Epoch 195, Data Loss: 0.001323845935985446, Physics Loss: 10.960758209228516, Total Loss: 1.0973997116088867, time: 0.46 seconds
Epoch 196, Data Loss: 0.0013234795769676566, Physics Loss: 10.960758209228516, Total Loss: 1.097399353981018, time: 0.48 seconds
Epoch 197, Data Loss: 0.0013231168268248439, Physics Loss: 10.960758209228516, Total Loss: 1.0973989963531494, time: 0.51 seconds
